Cycle,MSE,Avg,Min,Max,Discrepancy
186000,0.050000,50.00,49.00,52.00,3.00
188000,0.020000,50.00,49.00,51.00,2.00
190000,0.010000,50.00,49.00,51.00,2.00
192000,0.000000,50.00,50.00,50.00,0.00
194000,0.000000,50.00,50.00,50.00,0.00
196000,0.000000,50.00,50.00,50.00,0.00
198000,0.000000,50.00,50.00,50.00,0.00
200000,0.000000,50.00,50.00,50.00,0.00
202000,0.000000,50.00,50.00,50.00,0.00
204000,0.000000,50.00,50.00,50.00,0.00
206000,0.000000,50.00,50.00,50.00,0.00
208000,0.000000,50.00,50.00,50.00,0.00
210000,0.000000,50.00,50.00,50.00,0.00
212000,0.000000,50.00,50.00,50.00,0.00
214000,0.000000,50.00,50.00,50.00,0.00
216000,0.000000,50.00,50.00,50.00,0.00
218000,0.000000,50.00,50.00,50.00,0.00
220000,0.000000,50.00,50.00,50.00,0.00
222000,0.000000,50.00,50.00,50.00,0.00
224000,0.000000,50.00,50.00,50.00,0.00
226000,0.000000,50.00,50.00,50.00,0.00
228000,0.000000,50.00,50.00,50.00,0.00
230000,0.000000,50.00,50.00,50.00,0.00
232000,0.000000,50.00,50.00,50.00,0.00
234000,0.000000,50.00,50.00,50.00,0.00
236000,0.000000,50.00,50.00,50.00,0.00
238000,0.000000,50.00,50.00,50.00,0.00
240000,0.000000,50.00,50.00,50.00,0.00
242000,0.000000,50.00,50.00,50.00,0.00
244000,0.000000,50.00,50.00,50.00,0.00
246000,0.000000,50.00,50.00,50.00,0.00
248000,0.000000,50.00,50.00,50.00,0.00
250000,0.000000,50.00,50.00,50.00,0.00
252000,0.000000,50.00,50.00,50.00,0.00
254000,0.000000,50.00,50.00,50.00,0.00
256000,0.000000,50.00,50.00,50.00,0.00
258000,0.000000,50.00,50.00,50.00,0.00
260000,0.000000,50.00,50.00,50.00,0.00
262000,0.000000,50.00,50.00,50.00,0.00
264000,0.000000,50.00,50.00,50.00,0.00
266000,0.000000,50.00,50.00,50.00,0.00
268000,0.000000,50.00,50.00,50.00,0.00
270000,0.000000,50.00,50.00,50.00,0.00
272000,0.000000,50.00,50.00,50.00,0.00
274000,0.000000,50.00,50.00,50.00,0.00
276000,0.000000,50.00,50.00,50.00,0.00
278000,0.000000,50.00,50.00,50.00,0.00
280000,0.000000,50.00,50.00,50.00,0.00
282000,0.000000,50.00,50.00,50.00,0.00
284000,0.000000,50.00,50.00,50.00,0.00
286000,0.000000,50.00,50.00,50.00,0.00
288000,0.000000,50.00,50.00,50.00,0.00
290000,0.000000,50.00,50.00,50.00,0.00
292000,0.000000,50.00,50.00,50.00,0.00
294000,0.000000,50.00,50.00,50.00,0.00
296000,0.000000,50.00,50.00,50.00,0.00
298000,0.000000,50.00,50.00,50.00,0.00
300000,0.000000,50.00,50.00,50.00,0.00
302000,0.000000,50.00,50.00,50.00,0.00
304000,0.000000,50.00,50.00,50.00,0.00
306000,0.000000,50.00,50.00,50.00,0.00
308000,0.000000,50.00,50.00,50.00,0.00
310000,0.000000,50.00,50.00,50.00,0.00
312000,0.000000,50.00,50.00,50.00,0.00
314000,0.000000,50.00,50.00,50.00,0.00
316000,0.000000,50.00,50.00,50.00,0.00
318000,0.000000,50.00,50.00,50.00,0.00
320000,0.000000,50.00,50.00,50.00,0.00
322000,0.000000,50.00,50.00,50.00,0.00
324000,0.000000,50.00,50.00,50.00,0.00
326000,0.000000,50.00,50.00,50.00,0.00
328000,0.000000,50.00,50.00,50.00,0.00
330000,0.000000,50.00,50.00,50.00,0.00
332000,0.000000,50.00,50.00,50.00,0.00
334000,0.000000,50.00,50.00,50.00,0.00
336000,0.000000,50.00,50.00,50.00,0.00
338000,0.000000,50.00,50.00,50.00,0.00
340000,0.000000,50.00,50.00,50.00,0.00
342000,0.000000,50.00,50.00,50.00,0.00
344000,0.000000,50.00,50.00,50.00,0.00
346000,0.000000,50.00,50.00,50.00,0.00
348000,0.000000,50.00,50.00,50.00,0.00
350000,0.000000,50.00,50.00,50.00,0.00
352000,0.000000,50.00,50.00,50.00,0.00
354000,0.000000,50.00,50.00,50.00,0.00
356000,0.000000,50.00,50.00,50.00,0.00
358000,0.000000,50.00,50.00,50.00,0.00
360000,0.000000,50.00,50.00,50.00,0.00
362000,0.000000,50.00,50.00,50.00,0.00
364000,0.000000,50.00,50.00,50.00,0.00
366000,0.000000,50.00,50.00,50.00,0.00
368000,0.000000,50.00,50.00,50.00,0.00
370000,0.000000,50.00,50.00,50.00,0.00
372000,0.000000,50.00,50.00,50.00,0.00
374000,0.000000,50.00,50.00,50.00,0.00
