Cycle,MSE,Avg,Min,Max,Discrepancy
484000,0.040000,50.00,49.00,51.00,1.00
486000,0.040000,50.00,49.00,51.00,1.00
488000,0.040000,50.00,49.00,51.00,1.00
490000,0.040000,50.00,49.00,51.00,1.00
492000,0.040000,50.00,49.00,51.00,1.00
494000,0.040000,50.00,49.00,51.00,1.00
496000,0.040000,50.00,49.00,51.00,1.00
498000,0.040000,50.00,49.00,51.00,1.00
500000,0.040000,50.00,49.00,51.00,1.00
502000,0.040000,50.00,49.00,51.00,1.00
504000,0.040000,50.00,49.00,51.00,1.00
506000,0.040000,50.00,49.00,51.00,1.00
508000,0.040000,50.00,49.00,51.00,1.00
510000,0.040000,50.00,49.00,51.00,1.00
512000,0.040000,50.00,49.00,51.00,1.00
514000,0.040000,50.00,49.00,51.00,1.00
516000,0.040000,50.00,49.00,51.00,1.00
518000,0.040000,50.00,49.00,51.00,1.00
520000,0.040000,50.00,49.00,51.00,1.00
522000,0.040000,50.00,49.00,51.00,1.00
524000,0.040000,50.00,49.00,51.00,1.00
526000,0.040000,50.00,49.00,51.00,1.00
528000,0.040000,50.00,49.00,51.00,1.00
530000,0.040000,50.00,49.00,51.00,1.00
532000,0.040000,50.00,49.00,51.00,1.00
534000,0.040000,50.00,49.00,51.00,1.00
536000,0.040000,50.00,49.00,51.00,1.00
538000,0.040000,50.00,49.00,51.00,1.00
540000,0.040000,50.00,49.00,51.00,1.00
542000,0.040000,50.00,49.00,51.00,1.00
544000,0.040000,50.00,49.00,51.00,1.00
546000,0.040000,50.00,49.00,51.00,1.00
548000,0.040000,50.00,49.00,51.00,1.00
550000,0.040000,50.00,49.00,51.00,1.00
552000,0.040000,50.00,49.00,51.00,1.00
554000,0.040000,50.00,49.00,51.00,1.00
556000,0.040000,50.00,49.00,51.00,1.00
558000,0.040000,50.00,49.00,51.00,1.00
560000,0.040000,50.00,49.00,51.00,1.00
562000,0.040000,50.00,49.00,51.00,1.00
564000,0.040000,50.00,49.00,51.00,1.00
566000,0.040000,50.00,49.00,51.00,1.00
568000,0.040000,50.00,49.00,51.00,1.00
570000,0.040000,50.00,49.00,51.00,1.00
572000,0.040000,50.00,49.00,51.00,1.00
574000,0.040000,50.00,49.00,51.00,1.00
576000,0.040000,50.00,49.00,51.00,1.00
578000,0.040000,50.00,49.00,51.00,1.00
580000,0.040000,50.00,49.00,51.00,1.00
582000,0.040000,50.00,49.00,51.00,1.00
584000,0.040000,50.00,49.00,51.00,1.00
586000,0.040000,50.00,49.00,51.00,1.00
588000,0.040000,50.00,49.00,51.00,1.00
590000,0.040000,50.00,49.00,51.00,1.00
592000,0.040000,50.00,49.00,51.00,1.00
594000,0.040000,50.00,49.00,51.00,1.00
596000,0.040000,50.00,49.00,51.00,1.00
598000,0.040000,50.00,49.00,51.00,1.00
600000,0.040000,50.00,49.00,51.00,1.00
602000,0.040000,50.00,49.00,51.00,1.00
604000,0.040000,50.00,49.00,51.00,1.00
606000,0.040000,50.00,49.00,51.00,1.00
608000,0.040000,50.00,49.00,51.00,1.00
610000,0.040000,50.00,49.00,51.00,1.00
612000,0.040000,50.00,49.00,51.00,1.00
614000,0.040000,50.00,49.00,51.00,1.00
616000,0.040000,50.00,49.00,51.00,1.00
618000,0.040000,50.00,49.00,51.00,1.00
620000,0.040000,50.00,49.00,51.00,1.00
622000,0.040000,50.00,49.00,51.00,1.00
624000,0.040000,50.00,49.00,51.00,1.00
626000,0.040000,50.00,49.00,51.00,1.00
628000,0.040000,50.00,49.00,51.00,1.00
630000,0.040000,50.00,49.00,51.00,1.00
632000,0.040000,50.00,49.00,51.00,1.00
634000,0.040000,50.00,49.00,51.00,1.00
636000,0.040000,50.00,49.00,51.00,1.00
638000,0.040000,50.00,49.00,51.00,1.00
640000,0.040000,50.00,49.00,51.00,1.00
642000,0.040000,50.00,49.00,51.00,1.00
644000,0.040000,50.00,49.00,51.00,1.00
646000,0.040000,50.00,49.00,51.00,1.00
648000,0.040000,50.00,49.00,51.00,1.00
650000,0.040000,50.00,49.00,51.00,1.00
652000,0.040000,50.00,49.00,51.00,1.00
654000,0.040000,50.00,49.00,51.00,1.00
656000,0.040000,50.00,49.00,51.00,1.00
658000,0.040000,50.00,49.00,51.00,1.00
660000,0.040000,50.00,49.00,51.00,1.00
662000,0.040000,50.00,49.00,51.00,1.00
664000,0.040000,50.00,49.00,51.00,1.00
666000,0.040000,50.00,49.00,51.00,1.00
668000,0.040000,50.00,49.00,51.00,1.00
670000,0.040000,50.00,49.00,51.00,1.00
672000,0.040000,50.00,49.00,51.00,1.00
674000,0.040000,50.00,49.00,51.00,1.00
