Cycle,MSE,Avg,Min,Max,Discrepancy
792000,0.760000,50.00,49.00,51.00,1.00
794000,0.760000,50.00,49.00,51.00,1.00
796000,0.760000,50.00,49.00,51.00,1.00
798000,0.760000,50.00,49.00,51.00,1.00
800000,0.760000,50.00,49.00,51.00,1.00
802000,0.760000,50.00,49.00,51.00,1.00
804000,0.760000,50.00,49.00,51.00,1.00
806000,0.760000,50.00,49.00,51.00,1.00
808000,0.760000,50.00,49.00,51.00,1.00
810000,0.760000,50.00,49.00,51.00,1.00
812000,0.760000,50.00,49.00,51.00,1.00
814000,0.760000,50.00,49.00,51.00,1.00
816000,0.760000,50.00,49.00,51.00,1.00
818000,0.760000,50.00,49.00,51.00,1.00
820000,0.760000,50.00,49.00,51.00,1.00
822000,0.760000,50.00,49.00,51.00,1.00
824000,0.760000,50.00,49.00,51.00,1.00
826000,0.760000,50.00,49.00,51.00,1.00
828000,0.760000,50.00,49.00,51.00,1.00
830000,0.760000,50.00,49.00,51.00,1.00
832000,0.760000,50.00,49.00,51.00,1.00
834000,0.760000,50.00,49.00,51.00,1.00
836000,0.760000,50.00,49.00,51.00,1.00
838000,0.760000,50.00,49.00,51.00,1.00
840000,0.760000,50.00,49.00,51.00,1.00
842000,0.760000,50.00,49.00,51.00,1.00
844000,0.760000,50.00,49.00,51.00,1.00
846000,0.760000,50.00,49.00,51.00,1.00
848000,0.760000,50.00,49.00,51.00,1.00
850000,0.760000,50.00,49.00,51.00,1.00
852000,0.760000,50.00,49.00,51.00,1.00
854000,0.760000,50.00,49.00,51.00,1.00
856000,0.760000,50.00,49.00,51.00,1.00
858000,0.760000,50.00,49.00,51.00,1.00
860000,0.760000,50.00,49.00,51.00,1.00
862000,0.760000,50.00,49.00,51.00,1.00
864000,0.760000,50.00,49.00,51.00,1.00
866000,0.760000,50.00,49.00,51.00,1.00
868000,0.760000,50.00,49.00,51.00,1.00
870000,0.760000,50.00,49.00,51.00,1.00
872000,0.760000,50.00,49.00,51.00,1.00
874000,0.760000,50.00,49.00,51.00,1.00
876000,0.760000,50.00,49.00,51.00,1.00
878000,0.760000,50.00,49.00,51.00,1.00
880000,0.760000,50.00,49.00,51.00,1.00
882000,0.760000,50.00,49.00,51.00,1.00
884000,0.760000,50.00,49.00,51.00,1.00
886000,0.760000,50.00,49.00,51.00,1.00
888000,0.760000,50.00,49.00,51.00,1.00
890000,0.760000,50.00,49.00,51.00,1.00
892000,0.760000,50.00,49.00,51.00,1.00
894000,0.760000,50.00,49.00,51.00,1.00
896000,0.760000,50.00,49.00,51.00,1.00
898000,0.760000,50.00,49.00,51.00,1.00
900000,0.760000,50.00,49.00,51.00,1.00
902000,0.760000,50.00,49.00,51.00,1.00
904000,0.760000,50.00,49.00,51.00,1.00
906000,0.760000,50.00,49.00,51.00,1.00
908000,0.760000,50.00,49.00,51.00,1.00
910000,0.760000,50.00,49.00,51.00,1.00
912000,0.760000,50.00,49.00,51.00,1.00
914000,0.760000,50.00,49.00,51.00,1.00
916000,0.760000,50.00,49.00,51.00,1.00
918000,0.760000,50.00,49.00,51.00,1.00
920000,0.760000,50.00,49.00,51.00,1.00
922000,0.760000,50.00,49.00,51.00,1.00
924000,0.760000,50.00,49.00,51.00,1.00
926000,0.760000,50.00,49.00,51.00,1.00
928000,0.760000,50.00,49.00,51.00,1.00
930000,0.760000,50.00,49.00,51.00,1.00
932000,0.760000,50.00,49.00,51.00,1.00
934000,0.760000,50.00,49.00,51.00,1.00
936000,0.760000,50.00,49.00,51.00,1.00
938000,0.760000,50.00,49.00,51.00,1.00
940000,0.760000,50.00,49.00,51.00,1.00
942000,0.760000,50.00,49.00,51.00,1.00
944000,0.760000,50.00,49.00,51.00,1.00
946000,0.760000,50.00,49.00,51.00,1.00
948000,0.760000,50.00,49.00,51.00,1.00
950000,0.760000,50.00,49.00,51.00,1.00
952000,0.760000,50.00,49.00,51.00,1.00
954000,0.760000,50.00,49.00,51.00,1.00
956000,0.760000,50.00,49.00,51.00,1.00
958000,0.760000,50.00,49.00,51.00,1.00
960000,0.760000,50.00,49.00,51.00,1.00
962000,0.760000,50.00,49.00,51.00,1.00
964000,0.760000,50.00,49.00,51.00,1.00
966000,0.760000,50.00,49.00,51.00,1.00
968000,0.760000,50.00,49.00,51.00,1.00
970000,0.760000,50.00,49.00,51.00,1.00
972000,0.760000,50.00,49.00,51.00,1.00
974000,0.760000,50.00,49.00,51.00,1.00
976000,0.760000,50.00,49.00,51.00,1.00
978000,0.760000,50.00,49.00,51.00,1.00
980000,0.760000,50.00,49.00,51.00,1.00
982000,0.760000,50.00,49.00,51.00,1.00
984000,0.760000,50.00,49.00,51.00,1.00
986000,0.760000,50.00,49.00,51.00,1.00
988000,0.760000,50.00,49.00,51.00,1.00
990000,0.760000,50.00,49.00,51.00,1.00
992000,0.760000,50.00,49.00,51.00,1.00
994000,0.760000,50.00,49.00,51.00,1.00
996000,0.760000,50.00,49.00,51.00,1.00
998000,0.760000,50.00,49.00,51.00,1.00
1000000,0.760000,50.00,49.00,51.00,1.00
1002000,0.760000,50.00,49.00,51.00,1.00
1004000,0.760000,50.00,49.00,51.00,1.00
1006000,0.760000,50.00,49.00,51.00,1.00
1008000,0.760000,50.00,49.00,51.00,1.00
1010000,0.760000,50.00,49.00,51.00,1.00
1012000,0.760000,50.00,49.00,51.00,1.00
1014000,0.760000,50.00,49.00,51.00,1.00
1016000,0.760000,50.00,49.00,51.00,1.00
1018000,0.760000,50.00,49.00,51.00,1.00
1020000,0.760000,50.00,49.00,51.00,1.00
1022000,0.760000,50.00,49.00,51.00,1.00
1024000,0.760000,50.00,49.00,51.00,1.00
1026000,0.760000,50.00,49.00,51.00,1.00
1028000,0.760000,50.00,49.00,51.00,1.00
1030000,0.760000,50.00,49.00,51.00,1.00
1032000,0.760000,50.00,49.00,51.00,1.00
1034000,0.760000,50.00,49.00,51.00,1.00
1036000,0.760000,50.00,49.00,51.00,1.00
1038000,0.760000,50.00,49.00,51.00,1.00
1040000,0.760000,50.00,49.00,51.00,1.00
1042000,0.760000,50.00,49.00,51.00,1.00
1044000,0.760000,50.00,49.00,51.00,1.00
1046000,0.760000,50.00,49.00,51.00,1.00
1048000,0.760000,50.00,49.00,51.00,1.00
1050000,0.760000,50.00,49.00,51.00,1.00
1052000,0.760000,50.00,49.00,51.00,1.00
1054000,0.760000,50.00,49.00,51.00,1.00
1056000,0.760000,50.00,49.00,51.00,1.00
1058000,0.760000,50.00,49.00,51.00,1.00
1060000,0.760000,50.00,49.00,51.00,1.00
1062000,0.760000,50.00,49.00,51.00,1.00
1064000,0.760000,50.00,49.00,51.00,1.00
1066000,0.760000,50.00,49.00,51.00,1.00
1068000,0.760000,50.00,49.00,51.00,1.00
1070000,0.760000,50.00,49.00,51.00,1.00
1072000,0.760000,50.00,49.00,51.00,1.00
1074000,0.760000,50.00,49.00,51.00,1.00
1076000,0.760000,50.00,49.00,51.00,1.00
1078000,0.760000,50.00,49.00,51.00,1.00
1080000,0.760000,50.00,49.00,51.00,1.00
1082000,0.760000,50.00,49.00,51.00,1.00
1084000,0.760000,50.00,49.00,51.00,1.00
1086000,0.760000,50.00,49.00,51.00,1.00
1088000,0.760000,50.00,49.00,51.00,1.00
1090000,0.760000,50.00,49.00,51.00,1.00
1092000,0.760000,50.00,49.00,51.00,1.00
1094000,0.760000,50.00,49.00,51.00,1.00
1096000,0.760000,50.00,49.00,51.00,1.00
1098000,0.760000,50.00,49.00,51.00,1.00
1100000,0.760000,50.00,49.00,51.00,1.00
1102000,0.760000,50.00,49.00,51.00,1.00
1104000,0.760000,50.00,49.00,51.00,1.00
1106000,0.760000,50.00,49.00,51.00,1.00
1108000,0.760000,50.00,49.00,51.00,1.00
1110000,0.760000,50.00,49.00,51.00,1.00
1112000,0.760000,50.00,49.00,51.00,1.00
1114000,0.760000,50.00,49.00,51.00,1.00
1116000,0.760000,50.00,49.00,51.00,1.00
1118000,0.760000,50.00,49.00,51.00,1.00
1120000,0.760000,50.00,49.00,51.00,1.00
1122000,0.760000,50.00,49.00,51.00,1.00
1124000,0.760000,50.00,49.00,51.00,1.00
1126000,0.760000,50.00,49.00,51.00,1.00
1128000,0.760000,50.00,49.00,51.00,1.00
1130000,0.760000,50.00,49.00,51.00,1.00
1132000,0.760000,50.00,49.00,51.00,1.00
1134000,0.760000,50.00,49.00,51.00,1.00
1136000,0.760000,50.00,49.00,51.00,1.00
1138000,0.760000,50.00,49.00,51.00,1.00
1140000,0.760000,50.00,49.00,51.00,1.00
1142000,0.760000,50.00,49.00,51.00,1.00
1144000,0.760000,50.00,49.00,51.00,1.00
1146000,0.760000,50.00,49.00,51.00,1.00
1148000,0.760000,50.00,49.00,51.00,1.00
